order_id,date,customer_id,product_category,product_price,quantity,payment_method,region,total_amount,month
1,2023-04-13,2546,Clothing,269.03,3,Credit Card,North,807.09,2023-04
2,2024-03-11,2620,Books,299.16,1,Credit Card,West,299.16,2024-03
3,2023-09-28,3452,Electronics,156.04,3,Cash,North,468.12,2023-09
4,2023-04-17,4285,Sports,27.18,1,Credit Card,North,27.18,2023-04
5,2023-03-13,1684,Clothing,28.25,1,PayPal,North,28.25,2023-03
6,2023-01-21,3950,Home & Garden,22.91,1,Cash,South,22.91,2023-01
7,2024-09-06,3550,Books,372.17,3,Debit Card,West,1116.51,2024-09
8,2023-05-02,4792,Books,165.82,3,Cash,West,497.46,2023-05
9,2024-04-11,2471,Clothing,400.19,1,Cash,South,400.19,2024-04
10,2023-08-03,3941,Electronics,221.55,3,Cash,North,664.65,2023-08
11,2023-11-27,2599,Home & Garden,231.97,1,Credit Card,West,231.97,2023-11
12,2024-04-03,3305,Clothing,261.31,2,PayPal,North,522.62,2024-04
13,2023-03-29,3891,Sports,359.39,3,Credit Card,West,1078.17,2023-03
14,2024-01-08,3168,Home & Garden,144.02,3,PayPal,South,432.06,2024-01
15,2023-04-10,1809,Books,69.58,2,Credit Card,East,139.16,2023-04
16,2023-05-11,1977,Clothing,282.47,2,Cash,North,564.94,2023-05
17,2023-11-05,3101,Books,170.22,2,PayPal,West,340.44,2023-11
18,2023-12-10,4066,Books,226.82,1,Credit Card,West,226.82,2023-12
19,2024-05-06,2354,Books,327.0,1,Cash,West,327.0,2024-05
20,2024-02-18,1783,Electronics,252.12,4,Debit Card,South,1008.48,2024-02
21,2024-01-21,1240,Books,313.94,2,Credit Card,South,627.88,2024-01
22,2023-07-11,2778,Sports,276.66,4,Credit Card,East,1106.64,2023-07
23,2023-10-04,2553,Sports,372.5,1,Debit Card,South,372.5,2023-10
24,2023-06-10,1482,Home & Garden,355.91,3,Credit Card,North,1067.73,2023-06
25,2024-04-04,2012,Books,271.75,2,Debit Card,South,543.5,2024-04
26,2023-11-10,1186,Books,342.66,3,PayPal,West,1027.98,2023-11
27,2023-01-22,2881,Clothing,438.04,1,Debit Card,North,438.04,2023-01
28,2023-09-10,3703,Electronics,221.81,2,Cash,South,443.62,2023-09
29,2024-07-14,3309,Home & Garden,212.25,4,Debit Card,North,849.0,2024-07
30,2024-04-19,1952,Books,384.48,4,PayPal,North,1537.92,2024-04
31,2023-02-28,2387,Clothing,295.45,1,Debit Card,South,295.45,2023-02
32,2024-05-25,1490,Electronics,44.79,3,Debit Card,North,134.37,2024-05
33,2024-04-20,1430,Home & Garden,447.13,1,PayPal,West,447.13,2024-04
34,2023-07-09,1238,Home & Garden,25.08,3,Credit Card,West,75.24,2023-07
35,2024-07-16,3351,Books,376.71,1,Credit Card,South,376.71,2024-07
36,2024-07-20,3345,Home & Garden,381.81,4,Cash,South,1527.24,2024-07
37,2023-09-01,1075,Clothing,477.02,3,Cash,West,1431.06,2023-09
38,2024-05-19,4771,Home & Garden,36.53,1,Debit Card,South,36.53,2024-05
39,2023-05-11,2356,Sports,302.46,2,Credit Card,West,604.92,2023-05
40,2024-04-29,2923,Clothing,219.64,4,Credit Card,North,878.56,2024-04
41,2024-10-08,4046,Electronics,172.01,4,Debit Card,South,688.04,2024-10
42,2023-01-21,2781,Electronics,54.26,2,PayPal,East,108.52,2023-01
43,2023-06-16,3689,Books,285.7,1,Credit Card,West,285.7,2023-06
44,2023-10-01,4545,Books,244.73,3,Cash,West,734.19,2023-10
45,2024-01-23,1826,Sports,61.23,4,Debit Card,North,244.92,2024-01
46,2024-08-23,4994,Electronics,310.12,1,PayPal,East,310.12,2024-08
47,2023-11-12,3330,Electronics,371.6,2,Cash,East,743.2,2023-11
48,2023-01-14,1590,Electronics,385.97,3,Credit Card,East,1157.91,2023-01
49,2023-08-30,3119,Electronics,453.63,1,PayPal,West,453.63,2023-08
50,2023-12-12,4334,Home & Garden,210.64,1,Cash,West,210.64,2023-12
51,2024-07-18,3750,Clothing,477.01,4,Debit Card,East,1908.04,2024-07
52,2023-12-06,2902,Clothing,434.06,4,PayPal,South,1736.24,2023-12
53,2023-04-02,2910,Sports,155.29,3,PayPal,East,465.87,2023-04
54,2024-01-02,1574,Home & Garden,88.05,1,Debit Card,North,88.05,2024-01
55,2024-03-30,4047,Electronics,223.34,2,Credit Card,East,446.68,2024-03
56,2024-03-03,1891,Electronics,206.93,2,Credit Card,East,413.86,2024-03
57,2024-05-23,3059,Books,292.1,3,PayPal,East,876.3,2024-05
58,2023-02-04,1140,Books,295.86,1,PayPal,South,295.86,2023-02
59,2023-07-25,2789,Sports,377.49,4,PayPal,East,1509.96,2023-07
60,2023-03-22,4626,Electronics,259.85,1,Cash,East,259.85,2023-03
61,2024-07-15,1016,Sports,61.36,4,PayPal,West,245.44,2024-07
62,2024-01-23,2086,Home & Garden,430.56,2,Credit Card,East,861.12,2024-01
63,2023-01-02,1252,Clothing,161.78,3,Debit Card,North,485.34,2023-01
64,2024-01-25,1464,Electronics,485.94,3,Debit Card,West,1457.82,2024-01
65,2024-07-19,1375,Home & Garden,67.75,3,Debit Card,South,203.25,2024-07
66,2023-04-16,2827,Electronics,479.54,4,PayPal,West,1918.16,2023-04
67,2024-04-21,4028,Books,54.6,2,PayPal,South,109.2,2024-04
68,2024-02-06,1519,Sports,123.21,2,Debit Card,South,246.42,2024-02
69,2024-07-09,2860,Books,32.82,3,Cash,North,98.46,2024-07
70,2023-06-11,1089,Clothing,355.51,3,Cash,East,1066.53,2023-06
71,2023-07-21,1719,Books,426.65,4,Cash,North,1706.6,2023-07
72,2023-09-27,3851,Electronics,222.69,4,Cash,West,890.76,2023-09
73,2023-09-28,3843,Books,464.98,1,Credit Card,South,464.98,2023-09
74,2024-03-31,1629,Electronics,299.25,4,Debit Card,West,1197.0,2024-03
75,2024-04-06,2884,Clothing,318.7,1,Credit Card,South,318.7,2024-04
76,2023-09-09,4246,Books,424.26,3,PayPal,West,1272.78,2023-09
77,2023-10-23,1075,Sports,155.43,2,Cash,South,310.86,2023-10
78,2023-12-04,4684,Sports,183.59,4,Cash,North,734.36,2023-12
79,2023-02-22,1925,Sports,453.92,2,Debit Card,South,907.84,2023-02
80,2023-08-05,4734,Books,451.47,4,Cash,East,1805.88,2023-08
81,2023-07-07,3447,Books,488.48,4,Debit Card,North,1953.92,2023-07
82,2024-01-15,2805,Books,451.9,1,PayPal,East,451.9,2024-01
83,2024-05-07,1969,Electronics,72.41,4,Cash,West,289.64,2024-05
84,2023-02-10,2094,Clothing,413.62,3,Cash,West,1240.86,2023-02
85,2023-06-06,3028,Sports,210.82,2,Credit Card,South,421.64,2023-06
86,2023-01-15,4251,Electronics,495.49,4,Debit Card,South,1981.96,2023-01
87,2023-03-06,4195,Sports,241.42,2,Debit Card,West,482.84,2023-03
88,2024-06-04,2404,Electronics,281.38,2,Cash,North,562.76,2024-06
